sdss_name_j,sdss_name,fitsname,zqso,zabs,snr_m_3934,snr_m_3969,snr_3934_center,snr_3969_center,ew1,ew2,drift1,drift2,fwhm1,fwhm2,ew1_err,ew2_err,FWHM1,FWHM2,RA_j,DEC_j,PLATE_j,FIBER_j,MJD_j
SDSS J020610.43-065828.4,SDSS J020610.43-065828.4,spec-7238-56660-0203.fits,2.601000071,1.177328348,3.178161546,2.027723217,3.178161544,2.027723217,0.224643379,0.274621661,-0.259133235,0.346423537,1.792954957,2.516809139,0.070683436,0.135433504,2.896564939,1.387643177,31.54347197,-6.974566687,7238,203,56660
SDSS J094636.86+323949.6,SDSS J094636.86+323949.6,spec-5799-56325-0506.fits,1.307999969,0.553647399,3.136746324,2.684022994,3.136746324,2.682830976,0.214568719,0.12276065,0.31862483,0.334021672,3.331750284,2.226118363,0.068404868,0.045737555,1.44626665,1.50844147,146.6536024,32.66376573,5799,506,56325
SDSS J222500.89-092525.7,SDSS J222500.89-092525.7,spSpec-52206-0720-095.fit,1.882375002,0.781352639,2.690544534,2.980245817,2.690544535,2.980245818,0.550172148,0.528444926,0.936462258,-0.058931551,2.683375457,2.31283024,0.204483569,0.177315885,1.564559205,3.316349643,336.25369,-9.423795,720,95,52206
SDSS J210355.21+010741.9,SDSS J210355.21+010741.9,spSpec-52431-0985-321.fit,1.295325041,0.647307217,2.631421322,2.429279715,2.631421326,2.473871457,0.188284364,0.287284397,-0.049130698,0.269517045,2.002318703,2.798274146,0.071552344,0.118259085,3.024723769,1.47092681,315.980021,1.128306,985,321,52431
SDSS J002818.88-035610.6,SDSS J002818.88-035610.6,spec-7038-56571-0800.fits,0.730000019,0.50058794,3.70622938,2.10300311,3.706229383,2.117053077,0.15252726,0.162990643,0.239243241,0.356094634,1.092180247,1.922208323,0.041154296,0.077503758,2.122249491,1.272941192,7.078684844,-3.936287153,7038,800,56571
SDSS J140725.96+372851.1,SDSS J140725.96+372851.1,spSpec-54590-2931-369.fit,1.346583009,0.812975883,4.493055617,2.178475511,4.493055619,2.184099274,0.821857176,0.347243032,-0.110698445,0.542900914,3.258572884,2.540656482,0.182917205,0.159397262,2.025813272,1.912598236,211.858146,37.480848,2931,369,54590
SDSS J094140.11+644935.1,SDSS J094140.11+644935.1,spSpec-54468-1788-494.fit,1.162559032,0.607471943,4.264275345,2.886273303,4.224099665,2.890846517,0.510945062,0.20690469,0.974503105,-0.454697185,2.59849494,1.559116612,0.119819904,0.071685758,3.230085955,2.188359588,145.417117,64.826421,1788,494,54468
SDSS J102724.02-011300.8,SDSS J102724.02-011300.8,spec-3785-55273-0560.fits,1.261999965,0.593847215,7.668101461,2.737430189,7.668101455,2.737430191,0.697169579,0.098021516,0.814363896,-0.115568278,3.223397285,1.44105122,0.090918147,0.03580786,1.740315838,1.886933841,156.8500632,-1.216890697,3785,560,55273
SDSS J094853.18+605258.2,SDSS J094853.18+605258.2,spSpec-53795-2403-053.fit,1.404276013,0.715659499,5.327873489,2.733531215,5.272429175,2.733731091,0.522343905,0.402713627,1.645631176,0.965104018,1.909428835,2.309490496,0.098039848,0.147323588,1.558600172,0.779925298,147.22157,60.882836,2403,53,53795
SDSS J124613.07+175611.3,SDSS J124613.07+175611.3,spSpec-54144-2601-392.fit,1.385501981,0.686699629,3.065634337,2.663507498,3.065634339,2.663507501,0.594782817,0.13810423,0.256191309,0.142888591,3.094464205,0.978973189,0.19401623,0.051850513,1.906878227,1.077521235,191.554444,17.936462,2601,392,54144
SDSS J153503.44+311832.2,SDSS J153503.44+311832.2,spec-4723-56033-0174.fits,1.514999986,0.904011905,11.48771079,4.905386059,11.37885195,4.897166644,0.552894461,0.334469749,0.4883241,0.474627014,2.142054737,2.848785786,0.048129211,0.068184185,2.269204349,1.373229197,233.7643223,31.30893146,4723,174,56033
